GEO_ID,NAME,DP05_0002PE,DP05_0003PE,DP05_0005PE,DP05_0006PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0017PE,DP05_0019PE,DP05_0024PE,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0071PE
id,Geographic Area Name,Percent Male,Percent Female,Percent 5 and under,Percent 5 to 9,Percent 10 to 14,Percent 15 to 19,Percent 20 to 24,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Percent under 18 years,Percent 65 years and over,Percent White,Percent Black ,Percent American Indian and Alaska Native,Percent Asian,Percent Hispanic/Latino
0500000US01001,"Autauga County, Alabama",48.6,51.4,5.8,6.9,6.5,6.9,6.4,12.7,13.2,14,7.7,4.9,8.7,4.7,1.6,23.8,15,76.8,19,0.3,1,2.8
0500000US01003,"Baldwin County, Alabama",48.6,51.4,5.5,5.7,6.7,6,5.1,11.2,12.1,13.3,7.1,7.2,12.1,6,1.9,21.7,20,86.2,9.3,0.8,0.9,4.6
0500000US01005,"Barbour County, Alabama",52.9,47.1,5.3,6.4,5.6,5.6,6.3,14.4,12,13.1,6.4,6.5,11.2,5.8,1.6,20.9,18.6,46.8,47.6,0.3,0.5,4.4
0500000US01007,"Bibb County, Alabama",54,46,5.8,5.4,5,6.2,5.6,14.6,12.9,15.6,6.3,6.5,9.3,4.6,2,20.6,15.9,76.8,22.3,0.1,0.1,2.6
0500000US01009,"Blount County, Alabama",49.4,50.6,5.9,6.2,7,6.3,5.6,11.9,12.6,13.3,6.7,6.6,10.6,5.5,1.8,23.2,17.9,95.5,1.6,0.1,0.4,9.3
0500000US01011,"Bullock County, Alabama",54.4,45.6,5.3,6.2,5.4,7.9,5.8,12.4,13.5,13.3,6.6,7.5,10,4.4,1.7,20.8,16,21.9,74.8,0,0.5,2.6
0500000US01013,"Butler County, Alabama",45.8,54.2,5.8,6.5,6.1,6.4,5.5,11.8,12.8,11.2,7.1,7.1,11.5,5.5,2.6,22.5,19.7,51.8,45.4,0.1,0.3,1.4
0500000US01015,"Calhoun County, Alabama",48.1,51.9,5.8,5.8,6.2,6.8,6.4,13.2,11.9,12.7,7,6.9,10.2,5.2,1.8,21.8,17.2,73.7,20.8,0.3,0.9,3.8
0500000US01017,"Chambers County, Alabama",47.8,52.2,6.1,5.3,6,5.4,6.5,12.3,11.4,13.5,7.8,6.5,11.8,5.5,1.9,21,19.2,57.7,39.6,0.3,1.1,2.4
0500000US01019,"Cherokee County, Alabama",49.3,50.7,4.6,5.6,5.7,6.2,5,9.6,11.1,14.2,7.8,7.7,13.6,6.9,2,20.2,22.4,92.9,4.6,1.1,0.2,1.6
0500000US01021,"Chilton County, Alabama",48.7,51.3,6.3,7.3,6,6.6,5.6,13.1,13.3,12.7,6.7,6.4,9.4,5.2,1.4,24.1,16,83.6,9.2,0.8,0.4,7.8
0500000US01023,"Choctaw County, Alabama",47.5,52.5,5.3,4.9,6.2,6.5,5,9.9,11,13.5,7.9,7.4,12.8,7.4,2.3,20.1,22.6,56.8,42.6,0.1,0.1,0.4
0500000US01025,"Clarke County, Alabama",47.3,52.7,5.7,5.5,6.5,6.6,6.2,10.8,11.8,13.3,7.6,6.6,10.7,6.3,2.4,21.9,19.4,53,45.8,0.1,0.4,0.3
0500000US01027,"Clay County, Alabama",48.3,51.7,5.1,5.1,7.3,6.4,5.2,11.3,11.6,13.1,8.4,6.4,11.5,6.5,2.1,20.8,20.2,83.2,15.6,0.3,0.2,3.1
0500000US01029,"Cleburne County, Alabama",49,51,5.7,7.5,5.6,5.9,5.1,11.8,11.6,14.3,6.6,6.5,11.4,5,3,22.7,19.4,93.9,2.7,0.1,0,2.5
0500000US01031,"Coffee County, Alabama",49.3,50.7,6.2,6.4,7,6.2,5.8,12.8,12.9,13.4,7,5.7,9.6,5.2,1.7,23.7,16.5,75.7,16.9,1.2,1.4,7.3
0500000US01033,"Colbert County, Alabama",48,52,5.7,6,5.6,5.7,5.8,12,12.1,13.4,6.9,7.3,11.1,6.2,2.2,21.1,19.4,79,16.2,0.6,0.5,2.8
